date,Tweets
2020-10-23,2122409
2020-10-24,1976781
2020-10-25,2133602
2020-10-26,2000930
2020-10-27,1828528
2020-10-28,1959945
2020-10-29,1954930
2020-10-30,2000944
2020-10-31,1707758
2020-11-01,1534404
2020-11-02,1700963
2020-11-03,1544944
2020-11-04,1247945
2020-11-05,1489588
2020-11-06,1303803
2020-11-07,1488307
2020-11-08,1023652
2020-11-09,2220799
2020-11-10,1731945
2020-11-11,1625226
2020-11-12,1989452
2020-11-13,2210347
2020-11-14,1558944
2020-11-15,1586200
2020-11-16,1960756
2020-11-17,1761263
2020-11-18,1934668
2020-11-19,1776570
2020-11-20,1690958
2020-11-21,1530105
2020-11-22,1435646
2020-11-23,1713609
2020-11-24,1615788
2020-11-25,1461279
2020-11-26,1245595
2020-11-27,1131949
2020-11-28,1106554
2020-11-29,1038646
2020-11-30,1523043
2020-12-01,1702624
2020-12-02,1515763
2020-12-03,1690996
2020-12-04,1423212
2020-12-05,1289501
2020-12-06,1140393
2020-12-07,1686880
2020-12-08,1843768
2020-12-09,1675060
2020-12-10,1654676
2020-12-11,1348848
2020-12-12,1188141
2020-12-13,1155513
2020-12-14,1589943
2020-12-15,1463316
2020-12-16,1605795
2020-12-17,1863975
2020-12-18,1725115
2020-12-19,1644766
2020-12-20,1941503
2020-12-21,2421502
2020-12-22,2280128
2020-12-23,1892638
2020-12-24,1429641
2020-12-25,987116
2020-12-26,1394186
2020-12-27,1771931
2020-12-28,2074991
2020-12-29,1960412
2020-12-30,2282594
2020-12-31,1694315
2021-01-01,1385380
2021-01-02,1563426
2021-01-03,1662234
2021-01-04,1986674
2021-01-05,2230634
2021-01-06,1697006
2021-01-07,1426344
2021-01-08,1734771
2021-01-09,1247659
2021-01-10,203731
