"Cases_per_M","Deaths_per_M","Retail","Grocery","Parks","Transit","Workplaces","Residential","Stringency_M","Overall_M","Health_M","Economic_M","Tweets","Sentiment"
0.9200416268891051,0.052573807250806,-41,-21,-13,-48,-40,11,84.26,56.11,64.74,0,4362168,34.15444507570109
2.313247519035464,0.07886071087620901,-42,-17,-13,-50,-38,12,84.26,56.11,64.74,0,4272867,45.676259095111185
1.656074928400389,0,-43,-26,-16,-49,-40,13,84.26,56.11,64.74,0,4356877,35.61213076874958
1.340632084895553,0.026286903625403,-43,-25,-15,-50,-36,14,84.26,56.11,64.74,0,4167576,35.221571493237924
0.26286903625403,0.105147614501612,-41,-21,-12,-51,-13,11,84.26,56.11,64.74,0,4006677,36.93043936344002
1.8400832537782101,0.052573807250806,-46,-34,-13,-51,-39,16,84.26,56.11,64.74,0,4370988,37.18009069393174
1.2880582776447471,0.052573807250806,-42,-31,-10,-51,-42,14,84.26,56.11,64.74,0,4195499,36.095875669838236
1.5246404102733742,0.07886071087620901,-48,-32,-14,-52,-42,15,84.26,56.11,64.74,0,4381637,36.91369052689451
1.366918988520956,0,-46,-27,-13,-51,-41,14,84.26,56.11,64.74,0,4375774,35.660245784530595
0.8937547232637021,0.07886071087620901,-48,-29,-18,-49,-41,15,84.26,56.11,64.74,0,4368381,35.30647155597895
0.972615434139911,0,-46,-32,-12,-50,-38,16,78.7,52.78,60.9,0,4071106,35.49645525858051
1.603501121149583,0.026286903625403,-41,-22,-10,-48,-16,11,78.7,52.78,60.9,0,4385107,37.154645765611505
1.472066603022568,0.07886071087620901,-49,-35,-13,-51,-40,17,78.7,52.78,60.9,0,4015241,37.662610149582754
0.7886071087620901,0.105147614501612,-47,-30,-12,-52,-42,14,78.7,52.78,60.9,0,4380089,37.1076552815191
0.998902337765314,0,-41,-24,-11,-46,-39,10,78.7,52.78,60.9,0,4283241,38.83817899228955
0.7623202051366871,0.052573807250806,-45,-20,-11,-40,-40,11,78.7,52.78,60.9,0,4376721,36.38576931952974
0.9200416268891051,0.026286903625403,-45,-22,-13,-36,-38,12,78.7,52.78,60.9,0,4369411,34.22902462010003
0,0,-43,-20,-11,-38,-34,10,67.59,46.11,53.21,0,4267977,34.89355954993167
1.130336855892329,0,-38,-13,-8,-32,-12,6,67.59,46.11,53.21,0,4273265,36.102468684726375
0.683459494260478,0,-44,-25,-10,-35,-35,13,67.59,46.11,53.21,0,4187046,35.20970031142165
0.657172590635075,0,-44,-24,-9,-38,-37,11,67.59,46.11,53.21,0,4363049,34.54064893222153
0.709746397885881,0,-43,-29,-14,-42,-38,12,67.59,46.11,53.21,0,4058783,35.82425758719854
0.210295229003224,0.026286903625403,-41,-25,-15,-39,-37,11,67.59,46.11,53.21,0,4169142,36.16942832395418
0.39430355438104503,0.026286903625403,-38,-21,-13,-34,-33,10,67.59,46.11,53.21,0,4257355,34.29514457054871
0.420590458006448,0.026286903625403,-36,-20,-7,-32,-27,11,67.59,46.11,53.21,0,4276093,35.785329746769584
0,0,-20,5,-2,-16,-2,5,59.26,41.11,47.44,0,4621539,35.0005827606254
0.867467819638299,0,-18,0,-4,-23,-10,7,59.26,41.11,47.44,0,4554228,35.984929593341796
0.052573807250806,0,-18,-1,-3,-23,-10,6,59.26,41.11,47.44,0,4492680,35.27454216731489
0.15772142175241802,0.026286903625403,-15,0,-1,-18,-5,3,50.93,36.11,41.67,0,4589240,34.308180176253764
0.26286903625403,0,-11,7,0,-17,-3,2,41.67,30.56,35.26,0,4501584,33.941248969827825
0,0,-12,9,-2,-14,-6,1,41.67,30.56,35.26,0,4595815,35.591110576685764
0.052573807250806,0,-23,-13,1,-24,-36,6,41.67,30.56,35.26,0,4737815,36.34246548935451
0,0,-15,1,7,-19,-7,1,41.67,30.56,35.26,0,4509157,34.83977839564053
0,0,-3,3,5,-6,-2,2,41.67,30.56,35.26,0,4513770,34.51945228906942
0.026286903625403,0,0,7,5,-6,-1,1,41.67,30.56,35.26,0,4625664,34.54329870999057
0.131434518127015,0,0,6,3,-3,1,0,38.89,28.89,33.33,0,4581466,34.465474446751976
0.15772142175241802,0,1,14,2,4,1,1,38.89,28.89,33.33,0,4595739,32.734901036054644
0.07886071087620901,0,1,12,5,6,3,0,38.89,28.89,33.33,0,4596412,31.74381994591611
0.07886071087620901,0,2,-1,2,0,3,1,27.78,22.22,25.64,0,2645871,21.760664445668386
0.07886071087620901,0,5,8,4,7,7,0,27.78,22.22,25.64,0,2510462,19.946406838374156
0,0,5,7,3,8,8,-1,27.78,22.22,25.64,0,1754659,20.385194637196836
0,0,3,10,2,10,9,0,27.78,22.22,25.64,0,1349976,22.615146653154437
0,0,-1,1,0,4,6,1,8.33,10.56,12.18,0,2555832,21.781184193147524
0,0,-2,5,1,4,5,2,8.33,10.56,12.18,0,2630531,21.899421218594288
0,0,-1,0,1,3,7,2,8.33,10.56,12.18,0,2448979,21.813699850865728
0,0,-1,5,2,3,5,1,8.33,10.56,12.18,0,2279065,21.11919010161616
0.026286903625403,0,2,5,1,9,7,0,8.33,10.56,12.18,0,1941314,21.930170897820272
0,0,3,13,4,9,7,0,8.33,10.56,12.18,0,1357417,22.145991026431258
0,0,2,6,2,7,6,1,8.33,7.22,8.33,0,925853,19.248908403280762
0,0,2,5,6,7,6,0,0,0,0,0,693191,21.312233598241956
0,0,0,9,4,7,6,0,0,0,0,0,667771,21.777529740904537
0,0,-2,3,-1,4,6,1,0,0,0,0,467832,22.17599012895094
0,0,-1,3,1,0,5,1,0,0,0,0,565949,23.83847130744686
0,0,3,5,3,9,6,-1,0,0,0,0,574422,22.73058632540132
0,0,6,11,2,9,5,-1,0,0,0,0,495631,22.329089218154692
0,0,3,11,1,10,4,0,0,0,0,0,488779,27.599607603349163
0,0,-9,-10,0,-2,-28,5,0,0,0,0,505854,18.39647821691836
0,0,-53,-34,-37,-64,-49,27,90.74,70.56,73.72,50,4362168,34.15444507570109
0,0,-55,-39,-38,-67,-49,28,90.74,70.56,73.72,50,4272867,45.676259095111185
0.1571077148403225,0,-63,-41,-47,-68,-18,21,90.74,70.56,73.72,50,4356877,35.61213076874958
0,0,-60,-41,-39,-61,-35,23,90.74,70.56,73.72,50,4167576,35.221571493237924
0,0,-56,-37,-43,-63,-50,31,90.74,70.56,73.72,50,4006677,36.93043936344002
0,0,-52,-34,-36,-59,-51,25,90.74,70.56,73.72,50,4370988,37.18009069393174
0,0,-54,-40,-41,-64,-52,29,90.74,70.56,73.72,50,4195499,36.095875669838236
